更新时间,#genre#
20241202-22-23-53,url


whitelist,#genre#
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8zzhed
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8zzhed
春晚83,http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
寰宇新闻,http://litv.zapi.us.kg/?id=litv-longturn14
八大综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv039
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
民视影剧,http://litv.zapi.us.kg/?id=litv-ftv09
博斯高球2,https://litv.zapi.us.kg/?id=litv-longturn06
中天新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv009
民视综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv004
龙华日韩,https://litv.zapi.us.kg/?id=litv-longturn11
东森财经,https://litv.zapi.us.kg/?id=4gtv-4gtv153
千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed
靖天综合,https://litv.zapi.us.kg/?id=4gtv-4gtv046
中视闽南,https://litv.zapi.us.kg/?id=4gtv-4gtv040
寰宇闽南,https://litv.zapi.us.kg/?id=litv-longturn15
龙华经典,https://litv.zapi.us.kg/?id=litv-longturn21
采昌影剧,https://litv.zapi.us.kg/?id=4gtv-4gtv049
靖天资讯,https://litv.zapi.us.kg/?id=4gtv-4gtv065
新加坡国际,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
靖天映画,https://litv.zapi.us.kg/?id=4gtv-4gtv055
美国之音,https://litv.zapi.us.kg/?id=litv-ftv03
博斯魅力,https://litv.zapi.us.kg/?id=litv-longturn04
客家电视,https://litv.zapi.us.kg/?id=4gtv-4gtv043
好消息壹,https://litv.zapi.us.kg/?id=litv-ftv16
达文西,https://litv.zapi.us.kg/?id=4gtv-4gtv018
靖天日本,https://litv.zapi.us.kg/?id=4gtv-4gtv047
公视戏剧,https://litv.zapi.us.kg/?id=4gtv-4gtv042
春晚89,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
博斯无限1,https://litv.zapi.us.kg/?id=litv-longturn10
博斯运动1,https://litv.zapi.us.kg/?id=litv-longturn07
猪哥亮歌厅,https://litv.zapi.us.kg/?id=4gtv-4gtv006
GLO-Bet,https://litv.zapi.us.kg/?id=4gtv-4gtv016
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv002
TRACEU,https://litv.zapi.us.kg/?id=4gtv-4gtv082
八大综艺,https://litv.zapi.us.kg/?id=4gtv-4gtv039
华仁纪实,https://litv.zapi.us.kg/?id=4gtv-4gtv013
靖天国际,https://litv.zapi.us.kg/?id=4gtv-4gtv063
春晚96,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8
