更新时间,#genre#
20250623 07:51:35,url


freetv,#genre#
CCTV1,https://stream1.freetv.fun/cctv-1-4.ctv$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv1-21.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-28.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-37.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-41.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-42.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-54.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-57.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-63.m3u8$[BD]cctv1
CCTV10,https://stream1.freetv.fun/cctv-10-2.m3u8$[BD]cctv-10
CCTV10,https://stream1.freetv.fun/cctv10-15.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-16.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-30.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-40.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-41.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-44.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-53.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-69.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-75.m3u8$[BD]cctv10
CCTV10,https://stream1.freetv.fun/cctv10-81.m3u8$[BD]cctv10
CCTV11,https://stream1.freetv.fun/cctv11-20.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-21.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-23.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-47.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-55.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-58.m3u8$[BD]cctv11
CCTV11,https://stream1.freetv.fun/cctv11-70.m3u8$[BD]cctv11
