更新时间,#genre#
20250628 07:51:51,url


freetv_cctv,#genre#
CCTV1,https://stream1.freetv.fun/cctv1-20.m3u8
CCTV1,https://stream1.freetv.fun/cctv1-41.ctv
CCTV1,https://stream1.freetv.fun/cctv1-42.m3u8
CCTV1,https://stream1.freetv.fun/cctv1-55.m3u8
CCTV1,https://stream1.freetv.fun/cctv1-85.m3u8
CCTV10,https://stream1.freetv.fun/cctv-10-2.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-16.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-44.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-46.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-51.ctv
CCTV10,https://stream1.freetv.fun/cctv10-53.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-54.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-69.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-73.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-74.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-89.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-32.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-41.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-46.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-47.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-5.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-58.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-65.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-70.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-1.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-12.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-14.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-15.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-17.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-18.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-2.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-22.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-25.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-34.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-36.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-4.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-48.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-52.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-56.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-63.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-73.m3u8
