更新时间,#genre#
20241209 07:51:54,url


freetv_other,#genre#
CETV-1,https://stream1.freetv.fun/cetv-1-4.m3u8
CETV-4,https://stream1.freetv.fun/cetv-4-3.m3u8
CHC动作电影,https://stream1.freetv.fun/chc-dong-zuo-dian-ying-1.ctv
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-1.ctv
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-13.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-15.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-21.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-4.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-9.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-gao-qing-1.m3u8
CHC动作电影,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-18.m3u8
CHC动作电影,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-19.m3u8
CHC动作电影,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-24.m3u8
CHC动作电影,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-7.m3u8
CHC家庭影院,https://stream1.freetv.fun/chc-jia-ting-ying-yuan-1.ctv
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-10.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-13.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-21.ctv
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-4.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-6.m3u8
CHC家庭影院,https://stream1.freetv.fun/ipv6-chcjia-ting-ying-yuan-18.m3u8
CHC家庭影院,https://stream1.freetv.fun/ipv6-chcjia-ting-ying-yuan-2.m3u8
CHC影迷电影,https://stream1.freetv.fun/chc-gao-qing-dian-ying-1.ctv
CHC影迷电影,https://stream1.freetv.fun/chcgao-qing-dian-ying-5.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-1.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-14.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-4.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-6.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-7.m3u8
CHC影迷电影,https://stream1.freetv.fun/ipv6-chcying-mi-dian-ying-10.m3u8
CHC影迷电影,https://stream1.freetv.fun/ipv6-chcying-mi-dian-ying-11.m3u8
CHC影迷电影,https://stream1.freetv.fun/ipv6-chcying-mi-dian-ying-5.m3u8
CN卡通,https://stream1.freetv.fun/cnqia-tong-1.ctv
amc电影,https://stream1.freetv.fun/amcdian-ying-2.m3u8
amc电影,https://stream1.freetv.fun/amcdian-ying-3.ctv
cetv1,https://stream1.freetv.fun/cetv1-14.ctv
cgtn,https://stream1.freetv.fun/cgtn-11.m3u8
cgtn,https://stream1.freetv.fun/cgtn-21.m3u8
cgtn,https://stream1.freetv.fun/cgtn-30.ctv
cgtn,https://stream1.freetv.fun/cgtn-31.m3u8
cgtn,https://stream1.freetv.fun/ipv6-cgtn-25.m3u8
nba tv,https://stream1.freetv.fun/nba-tv-1.ctv
nba tv,https://stream1.freetv.fun/nba-tv-5.ctv
nba tv,https://stream1.freetv.fun/nba-tv-6.m3u8
nba tv,https://stream1.freetv.fun/nba-tv-8.m3u8
nowsports,https://stream1.freetv.fun/nowsports-1.ctv
now新聞,https://stream1.freetv.fun/nowxin-wen-1.ctv
skysports,https://stream1.freetv.fun/skysports-13.ctv
skysports,https://stream1.freetv.fun/skysports-16.ctv
skysports,https://stream1.freetv.fun/skysports-4.ctv
tvb 翡翠,https://stream1.freetv.fun/tvb-fei-cui-1.ctv
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-10.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-12.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-13.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-14.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-4.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-5.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-6.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-7.m3u8
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-9.m3u8
tvbs亚洲台,https://stream1.freetv.fun/tvbsya-zhou-3.m3u8
tvbs亞洲,https://stream1.freetv.fun/tvbsya-zhou-11.m3u8
tvbs亞洲,https://stream1.freetv.fun/tvbsya-zhou-8.m3u8
tvbs新聞,https://stream1.freetv.fun/tvbsxin-wen-1.ctv
tvbs新闻,https://stream1.freetv.fun/tvbsxin-wen-3.ctv
tvbs新闻,https://stream1.freetv.fun/tvbsxin-wen-4.m3u8
tvbs歡樂,https://stream1.freetv.fun/tvbshuan-le-2.ctv
tvb星河,https://stream1.freetv.fun/tvbxing-he-5.ctv
tvb星河,https://stream1.freetv.fun/tvbxing-he-7.ctv
三明综合,https://stream1.freetv.fun/san-ming-zong-he-1.m3u8
三立戏剧,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8
上海新闻综合,https://stream1.freetv.fun/ipv6-shang-hai-xin-wen-zong-he-2.m3u8
上海新闻综合,https://stream1.freetv.fun/ipv6-shang-hai-xin-wen-zong-he-3.m3u8
上海新闻综合,https://stream1.freetv.fun/ipv6-shang-hai-xin-wen-zong-he-6.m3u8
上海新闻综合,https://stream1.freetv.fun/ipv6-shang-hai-xin-wen-zong-he-7.m3u8
上海纪实人文,https://stream1.freetv.fun/ipv6-shang-hai-ji-shi-ren-wen-1.m3u8
上海纪实人文,https://stream1.freetv.fun/ipv6-shang-hai-ji-shi-ren-wen-2.m3u8
上海纪实人文,https://stream1.freetv.fun/ipv6-shang-hai-ji-shi-ren-wen-3.m3u8
上海纪实人文,https://stream1.freetv.fun/ipv6-shang-hai-ji-shi-ren-wen-5.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-1.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-2.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-3.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-4.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-5.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-6.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-7.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-8.m3u8
上虞1新闻综合,https://stream1.freetv.fun/shang-yu-1xin-wen-zong-he-1.m3u8
上虞3新商都,https://stream1.freetv.fun/shang-yu-3xin-shang-du-1.m3u8
上虞文化,https://stream1.freetv.fun/shang-yu-wen-hua-1.m3u8
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-1.m3u8
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-2.ctv
上虞新商都,https://stream1.freetv.fun/shang-yu-xin-shang-du-1.m3u8
上虞新商都,https://stream1.freetv.fun/shang-yu-xin-shang-du-2.m3u8
上虞综合,https://stream1.freetv.fun/shang-yu-zong-he-1.m3u8
东南卫视高清,https://stream1.freetv.fun/dong-nan-wei-shi-gao-qing-2.m3u8
东南卫视高清,https://stream1.freetv.fun/dong-nan-wei-shi-gao-qing-7.ctv
东方卫视高清,https://stream1.freetv.fun/dong-fang-wei-shi-gao-qing-2.m3u8
东方卫视高清,https://stream1.freetv.fun/dong-fang-wei-shi-gao-qing-6.ctv
东方影视,https://stream1.freetv.fun/dong-fang-ying-shi-12.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-13.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-2.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-3.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-5.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-6.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-8.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-9.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-1.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-3.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-4.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-5.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-6.m3u8
东森美洲中国,https://stream1.freetv.fun/dong-sen-mei-zhou-zhong-guo-1.m3u8
