
💝央视频道👉开心,#genre#
CCTV1,http://kxrj.site:998/123/mg.php?id=cctv1
CCTV2,http://kxrj.site:998/123/mg.php?id=cctv2
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV5,http://kxrj.site:998/123/mg.php?id=cctv5
CCTV5+,http://kxrj.site:998/123/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:998/123/mg.php?id=cctv6
CCTV7,http://kxrj.site:998/123/mg.php?id=cctv7
CCTV8,http://kxrj.site:998/123/mg.php?id=cctv8
CCTV9,http://kxrj.site:998/123/mg.php?id=cctv9
CCTV10,http://kxrj.site:998/123/mg.php?id=cctv10
CCTV11,http://kxrj.site:998/123/mg.php?id=cctv11
CCTV12,http://kxrj.site:998/123/mg.php?id=cctv12
CCTV13,http://kxrj.site:998/123/mg.php?id=cctv13
CCTV14,http://kxrj.site:998/123/mg.php?id=cctv14
CCTV15,http://kxrj.site:998/123/mg.php?id=cctv15
CCTV17,http://kxrj.site:998/123/mg.php?id=cctv17
CT4欧洲,http://kxrj.site:998/123/mg.php?id=cctv4o
CT4美洲,http://kxrj.site:998/123/mg.php?id=cctv4a
CGT纪录,http://kxrj.site:998/123/mg.php?id=cgtnjl
CGT西语,http://kxrj.site:998/123/mg.php?id=cgtne
CGT阿语,http://kxrj.site:998/123/mg.php?id=cgtna
CGT法语,http://kxrj.site:998/123/mg.php?id=cgtnf
CGT俄语,http://kxrj.site:998/123/mg.php?id=cgtnr
家庭影院,http://kxrj.site:998/123/mg.php?id=chcjt
动作电影,http://kxrj.site:998/123/mg.php?id=chcdz
发现之旅,http://kxrj.site:998/123/mg.php?id=fxzl
老故事台,http://kxrj.site:998/123/mg.php?id=lgs
中学生台,http://kxrj.site:998/123/mg.php?id=zxs

CCTV1,http://p.ytelc.com/169l/0/aikan.php?id=cctv1
CCTV2,http://p.ytelc.com/169l/0/aikan.php?id=cctv2
CCTV3,http://p.ytelc.com/169l/0/aikan.php?id=cctv3
CCTV4,http://p.ytelc.com/169l/0/aikan.php?id=cctv4
CCTV5,http://p.ytelc.com/169l/0/aikan.php?id=cctv5
CCTV6,http://p.ytelc.com/169l/0/aikan.php?id=cctv6
CCTV7,http://p.ytelc.com/169l/0/aikan.php?id=cctv7
