综合,#genre#
西夏影视,https://txmov2.a.kwimgs.com/upic/2023/07/05/19/BMjAyMzA3MDUxOTA5MTBfNjY0ODk2ODM3XzEwNzIxMDMwNTgxMF8yXzM=_b_B22cfb872d2296edc625d91bd8f0fdd1d.mp4
QQ731631267,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240121912724.mp4
QQ851572037,https://vd3.bdstatic.com/mda-pcjhhz2na6nnca3a/sc/bd265_cae_visr_v5/1679330663935082640/mda-pcjhhz2na6nnca3a.mp4
QQ187868213,https://alimov2.a.kwimgs.com/upic/2021/06/02/22/BMjAyMTA2MDIyMjA1MDBfMTQ5NDg3MjY1XzUwNzA0NjM1MTI1XzJfMw==_b_Bca4bab305a333a85b3921b1e24537dde.mp4
严禁商用,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4
后果自负,https://vd4.bdstatic.com/mda-mkp3tpu9ghk2ufev/sc/cae_h264/1637733480141753790/mda-mkp3tpu9ghk2ufev.mp4
关注群,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240059018784.mp4
抖音欣赏1,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240066736888.mp4
731631267,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240177941288.mp4
抖音欣赏2,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240228462625.mp4
851572037,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240069974546.mp4
抖音欣赏3,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg74qw4gUo0ZG70AM.mp4
187868213,https://vd2.bdstatic.com/mda-pe7hr2p4bx5jx5r9/1080p/cae_h264/1683598306035015220/mda-pe7hr2p4bx5jx5r9.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1704030224-0-0-ba725aec39ed965955eeef081c561835&bcevod_channel=searchbox_feed&cr=3&cd=0&pd=1&pt=3&logid=2624890472&vid=203289400526780136&klogid=2624890472&abtest=

中文国际,http://www.lizhinas.top:8688/udp/239.252.220.184:5140
央视台球,http://www.lizhinas.top:8688/udp/239.252.219.80:5140
重温经典,http://mtw.so/5NPX0U
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CHC高清电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC动作电影,http://[2001:250:5800:1005::155]:80/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/index.m3u8
CHC家庭影院,http://[2001:250:5800:1005::155]:80/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/index.m3u8
CHC动作电影,https://pi.0472.org/chc/dz.m3u8
CHC家庭影院,https://pi.0472.org/chc/jt.m3u8
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC动作电影 ,http://ojbk.02200059.xyz:4022/udp/226.1.30.180:6000
周星驰电影台,http://zby.xjqxz.top/live12/live.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
JJ斗地主,http://openhls-tct.douyucdn2.cn:80/dyliveflv1a/488743rAHScWyyII_2000.m3u8
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2

📻┃央视,#genre#
CCTV1,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV2,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV3,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV4,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV5,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV5+,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV6,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV7,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV8,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV9,http://ygbh666.cn/aikmigu.php?id=cctv9
CCTV10,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV11,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV12,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV13,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV14,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV15,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV17,http://ygbh666.cn/aikmigu.php?id=cctv17

CCTV1,http://ttkx.live:55/lib/aikan.php?id=cctv1
CCTV2,http://ttkx.live:55/lib/aikan.php?id=cctv2
