
//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
公告信息,#genre#
更新日期,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
20241108,http://kxrj.site:998/123/mg.php?id=cctv2
防止失联,http://kxrj.site:998/123/mg.php?id=cctv3
关注下方,http://kxrj.site:998/123/mg.php?id=cctv4
公众号[码点小干货],http://kxrj.site:998/123/mg.php?id=cctv5
小程序[码点小干货],http://kxrj.site:998/123/mg.php?id=cctv5p
软件APP,http://kxrj.site:998/123/mg.php?id=cctv6
源工具,http://kxrj.site:998/123/mg.php?id=cctv7
购买电视盒子,http://kxrj.site:998/123/mg.php?id=cctv8
盒子了解咨询,http://kxrj.site:998/123/mg.php?id=cctv9
添加下方微信,http://kxrj.site:998/123/mg.php?id=cctv10
mdxgh666,http://kxrj.site:998/123/mg.php?id=cctv11
节目频道,http://kxrj.site:998/123/mg.php?id=cctv12
播放卡顿的话,http://kxrj.site:998/123/mg.php?id=cctv13
可以左右来,http://kxrj.site:998/123/mg.php?id=cctv14
切换源播放,http://kxrj.site:998/123/mg.php?id=cctv15
更换源播放,http://kxrj.site:998/123/mg.php?id=cctv16
定期维护,http://kxrj.site:998/123/mg.php?id=cctv17


央视节目,#genre#
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
CCTV1,http://180.119.253.225:8600/rtp/239.49.1.1:6000$江苏电信组播
CCTV1,http://180.119.253.225:8600/rtp/239.49.8.129:6000$江苏电信组播
CCTV10,http://180.119.253.225:8600/rtp/239.49.1.10:6000$江苏电信组播
CCTV10,http://180.119.253.225:8600/rtp/239.49.8.134:6000$江苏电信组播
CCTV11,http://180.119.253.225:8600/rtp/239.49.1.11:6000$江苏电信组播
CCTV12,http://180.119.253.225:8600/rtp/239.49.1.12:6000$江苏电信组播
CCTV12,http://180.119.253.225:8600/rtp/239.49.8.135:6000$江苏电信组播
CCTV13,http://180.119.253.225:8600/rtp/239.49.1.13:6000$江苏电信组播
CCTV14,http://180.119.253.225:8600/rtp/239.49.1.14:6000$江苏电信组播
CCTV14,http://180.119.253.225:8600/rtp/239.49.8.136:6000$江苏电信组播
CCTV15,http://180.119.253.225:8600/rtp/239.49.1.15:6000$江苏电信组播
CCTV17,http://180.119.253.225:8600/rtp/239.49.1.7:6000$江苏电信组播
CCTV2,http://180.119.253.225:8600/rtp/239.49.1.2:6000$江苏电信组播
