📡央视频道,#genre#


CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


📡央视全网通频道,#genre#
cctv1,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv1
cctv2,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv2
cctv3,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv3
cctv4,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv4
cctv5,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv5
cctv5p,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv5p
cctv6,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv6
cctv7,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv7
cctv8,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv8
cctv9,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv9
cctv10,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv10
cctv11,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv11
cctv12,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv12
cctv13,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv13
cctv14,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv14
cctv15,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv15
cctv17,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv17
东方卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=dfws
广东卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=gdws
