央视节目,#genre#
CCTV1,http://kxrj.site:998/123/mg.php?id=cctv1
CCTV2,http://kxrj.site:998/123/mg.php?id=cctv2
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV5,http://kxrj.site:998/123/mg.php?id=cctv5
CCTV5+,http://kxrj.site:998/123/mg.php?id=cctv5p
CCTV6,http://kxrj.site:998/123/mg.php?id=cctv6
CCTV7,http://kxrj.site:998/123/mg.php?id=cctv7
CCTV8,http://kxrj.site:998/123/mg.php?id=cctv8
CCTV9,http://kxrj.site:998/123/mg.php?id=cctv9
CCTV10,http://kxrj.site:998/123/mg.php?id=cctv10
CCTV11,http://kxrj.site:998/123/mg.php?id=cctv11
CCTV12,http://kxrj.site:998/123/mg.php?id=cctv12
CCTV13,http://kxrj.site:998/123/mg.php?id=cctv13
CCTV14,http://kxrj.site:998/123/mg.php?id=cctv14
CCTV15,http://kxrj.site:998/123/mg.php?id=cctv15
CCTV17,http://kxrj.site:998/123/mg.php?id=cctv17
