🐼看电视呗,#genre#
温馨提醒,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
接口免费,https://ghp.ci/https://raw.githubusercontent.com/uc666/show/refs/heads/main/lib/tsyq.mp4
拒绝收费,https://cfss.cc/api/kg/12859358.mp4
拒绝收费,https://cfss.cc/api/yy/54880976.m3u8
拒绝收费,https://cfss.cc/api/yy/97801889.m3u8
金鹰卡通,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010102/1.m3u8
哈哈炫动,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8
哈哈炫动,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
优漫卡通,http://[2409:8087:1a0a:df::402c]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江卫视少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
湖北经视,http://119.36.148.115:59901/tsfile/live/1004_1.m3u8?key=txiptv
湖北经视,http://113.57.93.165:9900/tsfile/live/1017_1.m3u8?key=txiptv
湖北经视,http://119.101.65.2:8888/rtp/239.69.1.41:9886
湖北经视,http://119.98.133.138:4000/rtp/239.254.96.178:9148
湖北经视,http://119.98.133.138:4000/rtp/239.69.1.41:9886
湖北经视,http://27.24.224.125:8888/rtp/239.69.1.41:9886
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
经典电影台,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
更新2024-11-09,https://api.lq.mba/api/dm-xjj
更新2024-11-09,https://api.yujn.cn/api/duilian.php?type=video
更新2024-11-09,https://api.kuleu.com/api/xjj?type=string
更新2024-11-09,http://api.yujn.cn/api/juhexjj.php?type=video
更新2024-11-09,http://api.yujn.cn/api/jiepai.php?type=video

🐼稳定流畅,#genre#

CCTV6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV13新闻,http://lives.jnnews.tv/video/s10001-cctv/index.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202
郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8 
北京纪实科教,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8

🐼中央电视,#genre#

CCTV1,http://dsk.cc/php/xxtv.php?id=cctv1$学习强国
CCTV2,http://dsk.cc/php/xxtv.php?id=cctv2$学习强国
CCTV3,http://dsk.cc/php/xxtv.php?id=cctv3$学习强国
CCTV4,http://dsk.cc/php/xxtv.php?id=cctv4$学习强国
CCTV5,http://dsk.cc/php/xxtv.php?id=cctv5$学习强国
CCTV5+,http://dsk.cc/php/xxtv.php?id=cctv5p$学习强国
CCTV6,http://dsk.cc/php/xxtv.php?id=cctv6$学习强国
CCTV7,http://dsk.cc/php/xxtv.php?id=cctv7$学习强国
CCTV8,http://dsk.cc/php/xxtv.php?id=cctv8$学习强国
