blacklist_manual,#genre#
新闻综合,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
东方影视,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
上海都市,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
第一财经,https://live.goodiptv.club/api/bestv.php?id=dycjhd8m/8000000
东方财经,https://live.goodiptv.club/api/bestv.php?id=dfcjhd8m/8000000
上海纪实,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
上海外语,https://live.goodiptv.club/api/bestv.php?id=icshd8m/8000000
上海教育,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
生活时尚,https://live.goodiptv.club/api/bestv.php?id=shss8m/8000000
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
