更新时间,#genre#
20240926-18-10-27,url


RespoTime,whitelist,#genre#
18.04ms,凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
20.30ms,運通財經台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV06.m3u8
22.44ms,Dave and Ava,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV67.m3u8
23.13ms,JapaNews24,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8
23.23ms,東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
23.23ms,momo購物一台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
23.60ms,民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
23.69ms,寰宇新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
23.72ms,Asianet News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV11.m3u8
24.08ms,春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
24.18ms,Malaimurasu Tv 24X7,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
24.26ms,Astro AWANI,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV27.m3u8
24.37ms,古典音乐,http://litv.zapi.us.kg/?id=4gtv-4gtv059
24.56ms,Al Jazeera Arabic,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
24.59ms,東森購物台CH46,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV19.m3u8
24.60ms,東森購物台CH60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
25.19ms,DW News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
25.26ms,中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
25.49ms,ABC News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
25.49ms,新唐人LIVE,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV23.m3u8
25.82ms,中天亞洲台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV13.m3u8
26.45ms,India Today,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV36.m3u8
26.49ms,鳳凰衛視資訊台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
26.60ms,Haberturk TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV21.m3u8
26.71ms,GB News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
26.84ms,靖洋戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv045
26.92ms,momo購物二台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
27.06ms,博斯高球1,http://litv.zapi.us.kg/?id=litv-longturn05
27.10ms,阿里郎,http://litv.zapi.us.kg/?id=4gtv-4gtv079
28.00ms,华视,http://litv.zapi.us.kg/?id=4gtv-4gtv041
28.31ms,春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
28.39ms,博斯网球,http://litv.zapi.us.kg/?id=litv-longturn09
28.61ms,三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
29.30ms,華視戲劇頻道,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
29.76ms,視納華仁紀實頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv013
29.95ms,春晚83,http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
30.01ms,好消息,http://litv.zapi.us.kg/?id=litv-ftv16
30.12ms,凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
30.54ms,春晚85,http://txmov2.a.kwimgs.com/bs3/video-hls/5227271857652377954_hlshd15.m3u8
31.13ms,大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8?
32.12ms,猪哥亮歌厅秀,http://litv.zapi.us.kg/?id=4gtv-4gtv006
32.20ms,信大電視台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
32.20ms,中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
32.85ms,台湾戏剧,http://litv.zapi.us.kg/?id=litv-longturn22
33.50ms,TRACE SPORTS STARS,http://litv.zapi.us.kg/?id=4gtv-4gtv077
33.59ms,春晚09,https://txmov2.a.kwimgs.com/bs3/video-hls/5214042558858339330_hlshd15.m3u8
33.59ms,春晚96,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8
34.58ms,春晚03,https://txmov2.a.kwimgs.com/bs3/video-hls/5232338436280256836_hlshd15.m3u8
35.35ms,KBS News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV61.m3u8
35.53ms,春晚11,https://txmov2.a.kwimgs.com/bs3/video-hls/5243597434070590481_hlshd15.m3u8
35.84ms,民视综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv004
36.06ms,生活英语,http://litv.zapi.us.kg/?id=litv-longturn20
36.31ms,非凡新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv010
36.46ms,东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
37.15ms,春晚2013,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ1NjNfMF8z_b_B4fea55408dca4471a68a963ae096be59.mp4
37.84ms,龙华偶像,http://litv.zapi.us.kg/?id=litv-longturn12
38.00ms,中视,http://litv.zapi.us.kg/?id=4gtv-4gtv040
38.03ms,非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
38.15ms,春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
38.60ms,THE K-POP,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
38.85ms,LIVE NOW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
38.94ms,民视台湾,http://litv.zapi.us.kg/?id=4gtv-4gtv156
39.01ms,靖天资讯,http://litv.zapi.us.kg/?id=4gtv-4gtv065
