更新时间,#genre#
20240618-14-35-01,url
blacklist,#genre#
CCTV7,http://118.248.172.101:8088/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://39.134.65.181/PLTV/88888888/224/3221225503/1.m3u8
济公游记,http://43.138.170.29:35455/yy/1355265814
超级体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225622/index.m3u8?blog.ntnas.top
憨豆先生-经典喜剧,http://43.138.170.29:35455/yy/1354936239
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
金鹰卡通,http://118.248.172.101:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
灌篮高手,http://43.138.170.29:35455/yy/1382735626
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
雪中悍刀行,http://43.138.170.29:35455/yy/1354943110
斯坦森,http://43.138.170.29:35455/huya/21059588
贵州卫视,http://9bwaz8y2.gzstv.com/live/CH01_lo.m3u8?txSecret=9ea4f54080a3c50cd8cddeea15e6254c&txTime=666CFFA7
湖南都市,http://118.248.172.101:8088/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://39.134.66.110/PLTV/88888888/224/3221225972/index.m3u8
精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
贵州卫视,http://118.248.172.101:8088/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://39.134.66.110/PLTV/88888888/224/3221225797/index.m3u8
陕西卫视,http://223.159.10.136:8099/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://36.40.237.72:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
最后的狮子-探险纪录片,http://43.138.170.29:35455/yy/1382735577
笑傲江湖,http://43.138.170.29:35455/yy/1354930909
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
单挑荒野第一季,http://43.138.170.29:35455/yy/1354933535
春晚小品,http://43.138.170.29:35455/yy/1382773708
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
灾难片,http://43.138.170.29:35455/huya/11602075
CCTV6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
湖南金鹰卡通,http://118.248.172.101:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
安徽卫视,http://39.134.66.110/PLTV/88888888/224/3221225925/index.m3u8
